

        Prob |      n | método |    it |         f |     grad | st |
-------------|--------|--------|-------|-----------|----------|----|
    ERRINROS |     50 |   grad | 10000 |  4.04e+01 | 1.37e-01 |  1 |
             |        |    spg | 10000 |  4.00e+01 | 1.74e-01 |  1 |
-------------|--------|--------|-------|-----------|----------|----|
    ERRINRSM |     50 |   grad | 10000 |  3.86e+01 | 1.29e-01 |  1 |
             |        |    spg | 10000 |  3.83e+01 | 2.18e-02 |  1 |
-------------|--------|--------|-------|-----------|----------|----|
        EXP2 |      2 |   grad |   113 |  3.97e-12 | 8.98e-07 |  0 |
             |        |    spg |    25 |  3.43e-19 | 2.23e-10 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
      EXPFIT |      2 |   grad |   325 |  2.41e-01 | 8.45e-07 |  0 |
             |        |    spg |    37 |  2.41e-01 | 3.54e-07 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
    EXTROSNB |   1000 |   grad |   103 |  3.99e+00 | 9.53e-07 |  0 |
             |        |    spg | 10000 |  1.69e-04 | 8.71e-04 |  1 |
-------------|--------|--------|-------|-----------|----------|----|
    FLETBV3M |   5000 |   grad |   531 | -2.21e+05 | 9.43e-07 |  0 |
             |        |    spg |   230 | -2.49e+05 | 5.56e-07 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
    FLETCBV2 |   5000 |   grad |     0 | -5.00e-01 | 8.00e-08 |  0 |
             |        |    spg |     0 | -5.00e-01 | 8.00e-08 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
    FLETCBV3 |   5000 |   grad | 10000 | -1.09e+07 | 5.02e-01 |  1 |
             |        |    spg | 10000 | -9.39e+14 | 1.26e+01 |  1 |
-------------|--------|--------|-------|-----------|----------|----|
    FLETCHBV |   5000 |   grad | 10000 | -8.03e+22 | 1.70e+08 |  1 |
             |        |    spg | 10000 | -1.03e+23 | 1.17e+08 |  1 |
-------------|--------|--------|-------|-----------|----------|----|
    FLETCHCR |   1000 |   grad | 10000 |  5.94e-07 | 6.66e-04 |  1 |
             |        |    spg |  1348 |  1.33e-12 | 9.11e-07 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
    FMINSRF2 |   5625 |   grad |  6568 |  1.00e+00 | 9.99e-07 |  0 |
             |        |    spg |   888 |  1.00e+00 | 9.96e-07 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
    FMINSURF |   5625 |   grad | 10000 |  1.00e+00 | 2.36e-05 |  1 |
             |        |    spg |  2243 |  1.00e+00 | 8.72e-07 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
    GAUSS1LS |      8 |   grad | 10000 |  7.32e+03 | 7.39e+03 |  1 |
             |        |    spg | 10000 |  1.32e+03 | 3.54e-03 |  1 |
-------------|--------|--------|-------|-----------|----------|----|
    GAUSS2LS |      8 |   grad | 10000 |  9.01e+03 | 9.97e+03 |  1 |
             |        |    spg | 10000 |  1.25e+03 | 6.08e-05 |  1 |
-------------|--------|--------|-------|-----------|----------|----|
    GAUSS3LS |      8 |   grad | 10000 |  1.87e+04 | 4.19e+03 |  1 |
             |        |    spg | 10000 |  1.24e+03 | 2.74e+02 |  1 |
-------------|--------|--------|-------|-----------|----------|----|
    GAUSSIAN |      3 |   grad |    59 |  1.13e-08 | 9.75e-07 |  0 |
             |        |    spg |     5 |  1.13e-08 | 3.61e-08 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
    GENHUMPS |   5000 |   grad |  8568 |  8.22e-12 | 9.94e-07 |  0 |
             |        |    spg | 10000 |  1.04e+03 | 3.99e+01 |  1 |
-------------|--------|--------|-------|-----------|----------|----|
     GENROSE |    500 |   grad | 10000 |  2.05e+02 | 1.41e+00 |  1 |
             |        |    spg |  3808 |  1.00e+00 | 3.43e-07 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
    GROWTHLS |      3 |   grad |     1 |  3.54e+03 | 0.00e+00 |  0 |
             |        |    spg |   178 |  1.11e+03 | 1.70e-13 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
        GULF |      3 |   grad | 10000 |  2.36e+00 | 3.77e-01 |  1 |
             |        |    spg |  1123 |  1.31e-09 | 5.43e-07 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
     HAHN1LS |      7 |   grad | 10000 |  1.12e+03 | 2.78e+06 |  1 |
             |        |    spg | 10000 |  2.81e+04 | 1.93e-05 |  1 |
-------------|--------|--------|-------|-----------|----------|----|
       HAIRY |      2 |   grad | 10000 |  2.00e+01 | 1.78e-06 |  1 |
             |        |    spg |   276 |  2.00e+01 | 5.43e-08 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
     HATFLDD |      3 |   grad | 10000 |  1.20e-05 | 1.25e-04 |  1 |
             |        |    spg |   151 |  3.71e-06 |      NaN |  1 |
-------------|--------|--------|-------|-----------|----------|----|
     HATFLDE |      3 |   grad | 10000 |  3.81e-06 | 1.45e-04 |  1 |
             |        |    spg |   122 |  2.73e-06 | 3.58e-07 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
    HATFLDFL |      3 |   grad | 10000 |  6.66e-05 | 4.32e-06 |  1 |
             |        |    spg |   219 |  6.37e-05 | 8.91e-07 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
   HATFLDFLS |      3 |   grad | 10000 |  1.57e-05 | 1.86e-04 |  1 |
             |        |    spg |   287 |  1.82e-11 | 1.08e-07 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
   HATFLDGLS |     25 |   grad | 10000 |  2.23e-09 | 2.10e-05 |  1 |
             |        |    spg |   287 |  5.75e-11 | 4.92e-07 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
    HEART6LS |      6 |   grad | 10000 |  2.22e+01 | 6.17e+00 |  1 |
             |        |    spg | 10000 |  7.15e-02 | 2.22e-02 |  1 |
-------------|--------|--------|-------|-----------|----------|----|
    HEART8LS |      8 |   grad | 10000 |  1.13e+00 | 9.38e-02 |  1 |
             |        |    spg |   516 |  2.02e-13 | 4.68e-07 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
       HELIX |      3 |   grad |  3107 |  2.76e-13 | 9.91e-07 |  0 |
             |        |    spg |    74 |  6.25e-21 | 1.58e-09 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
      HIELOW |      3 |   grad |     1 |       NaN |      NaN |  1 |
             |        |    spg |    96 |  8.74e+02 | 2.76e-08 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
    HILBERTA |      2 |   grad |   165 |  8.92e-12 | 9.55e-07 |  0 |
             |        |    spg |     7 |  4.51e-29 | 2.15e-15 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
    HILBERTB |     10 |   grad |    24 |  6.20e-14 | 8.44e-07 |  0 |
             |        |    spg |     8 |  2.98e-15 | 1.26e-07 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
    HIMMELBB |      2 |   grad |    49 |  4.22e-15 | 9.67e-07 |  0 |
             |        |    spg |    13 |  5.06e-12 | 7.55e-07 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
  HIMMELBCLS |      2 |   grad |    23 |  4.12e-15 | 7.00e-07 |  0 |
             |        |    spg |    15 |  8.43e-22 | 1.92e-10 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
    HIMMELBF |      4 |   grad | 10000 |  3.20e+02 | 8.67e-01 |  1 |
             |        |    spg | 10000 |  3.19e+02 | 6.58e-03 |  1 |
-------------|--------|--------|-------|-----------|----------|----|
    HIMMELBG |      2 |   grad |     9 |  7.42e-14 | 7.27e-07 |  0 |
             |        |    spg |    11 |  1.74e-15 | 1.00e-07 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
    HIMMELBH |      2 |   grad |    21 | -1.00e+00 | 9.09e-07 |  0 |
             |        |    spg |     3 | -1.00e+00 | 0.00e+00 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
       HUMPS |      2 |   grad |  7986 |  4.63e-12 | 9.62e-07 |  0 |
             |        |    spg |  5557 |  1.20e-15 | 1.54e-08 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
    HYDC20LS |     99 |   grad | 10000 |  1.15e+00 | 1.16e+00 |  1 |
             |        |    spg | 10000 |  2.54e-01 | 1.17e+00 |  1 |
-------------|--------|--------|-------|-----------|----------|----|
   HYDCAR6LS |     29 |   grad | 10000 |  4.97e-01 | 4.87e-01 |  1 |
             |        |    spg | 10000 |  1.50e-01 | 1.02e-01 |  1 |
-------------|--------|--------|-------|-----------|----------|----|
       INDEF |   5000 |   grad | 10000 | -5.00e+07 | 1.88e+03 |  1 |
             |        |    spg |    21 | -5.45e+21 | 0.00e+00 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
   INTEQNELS |    502 |   grad |     5 |  3.32e-11 | 9.83e-07 |  0 |
             |        |    spg |     6 |  1.31e-11 | 5.82e-07 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
      JENSMP |      2 |   grad |     1 |  2.02e+03 | 2.32e-28 |  0 |
             |        |    spg |    63 |  1.24e+02 | 1.63e-08 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
       JUDGE |      2 |   grad |   113 |  1.61e+01 | 9.59e-07 |  0 |
             |        |    spg |    22 |  1.61e+01 | 3.47e-07 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
    KIRBY2LS |      5 |   grad | 10000 |  1.25e+03 | 1.24e+07 |  1 |
             |        |    spg | 10000 |  2.63e+01 | 1.67e+07 |  1 |
-------------|--------|--------|-------|-----------|----------|----|
      KOWOSB |      4 |   grad |  9544 |  3.08e-04 | 9.79e-07 |  0 |
             |        |    spg |   178 |  3.08e-04 | 5.24e-07 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
       KSSLS |   1000 |   grad |   273 |  1.31e-17 | 6.38e-07 |  0 |
             |        |    spg |    12 |  1.54e-21 | 2.14e-09 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
  LANCZOS1LS |      6 |   grad | 10000 |  1.60e-04 | 3.05e-04 |  1 |
             |        |    spg |  1023 |  1.40e-07 | 7.46e-07 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
  LANCZOS2LS |      6 |   grad | 10000 |  1.60e-04 | 3.05e-04 |  1 |
             |        |    spg |  1486 |  1.72e-07 | 1.00e-06 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
  LANCZOS3LS |      6 |   grad | 10000 |  1.60e-04 | 3.05e-04 |  1 |
             |        |    spg |  1358 |  4.47e-06 | 7.35e-07 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
    LOGHAIRY |      2 |   grad | 10000 |  6.53e+00 | 1.46e-03 |  1 |
             |        |    spg |  8859 |  1.82e-01 | 1.86e-09 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
      LSC1LS |      3 |   grad | 10000 |  1.08e+03 | 3.08e-01 |  1 |
             |        |    spg |   225 |  7.71e+00 | 4.76e-07 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
      LSC2LS |      3 |   grad | 10000 |  1.61e+01 | 1.29e-02 |  1 |
             |        |    spg |  1897 |  1.34e+01 | 3.47e-07 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
  LUKSAN11LS |    100 |   grad | 10000 |  7.42e+01 | 1.51e+00 |  1 |
             |        |    spg |  3817 |  1.10e-13 | 6.62e-07 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
  LUKSAN12LS |     98 |   grad | 10000 |  1.85e+03 | 8.21e-05 |  1 |
             |        |    spg |   549 |  1.97e+03 | 9.48e-07 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
  LUKSAN13LS |     98 |   grad | 10000 |  2.52e+04 | 1.19e-04 |  1 |
             |        |    spg |   316 |  2.52e+04 | 6.99e-07 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
  LUKSAN14LS |     98 |   grad | 10000 |  1.25e+02 | 2.34e-06 |  1 |
             |        |    spg |   510 |  1.25e+02 | 3.53e-07 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
  LUKSAN15LS |    100 |   grad |    55 |  3.57e+00 | 9.82e-07 |  0 |
             |        |    spg |    31 |  3.57e+00 | 3.85e-07 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
  LUKSAN16LS |    100 |   grad |    53 |  3.57e+00 | 7.70e-07 |  0 |
             |        |    spg |    36 |  3.57e+00 | 7.34e-07 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
  LUKSAN17LS |    100 |   grad | 10000 |  4.93e-01 | 3.56e-06 |  1 |
             |        |    spg |   553 |  4.93e-01 | 8.86e-07 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
  LUKSAN21LS |    100 |   grad | 10000 |  8.40e+01 | 2.08e-01 |  1 |
             |        |    spg |  2584 |  7.86e-10 | 9.50e-07 |  0 |
